src,dst,timestamp
0,8227,0.0
1,8228,36.0
1,8228,77.0
2,8229,131.0
1,8228,150.0
2,8229,153.0
3,8230,169.0
1,8228,217.0
4,8231,218.0
4,8231,242.0
5,8232,295.0
1,8228,300.0
1,8228,376.0
2,8229,380.0
6,8233,384.0
7,8227,384.0
3,8230,387.0
8,8234,395.0
1,8228,402.0
2,8229,402.0
2,8229,432.0
9,8235,454.0
1,8228,465.0
6,8233,563.0
4,8231,578.0
1,8228,623.0
3,8230,646.0
2,8229,674.0
1,8228,692.0
2,8229,715.0
10,8236,729.0
11,8237,742.0
3,8230,742.0
3,8230,809.0
12,8238,854.0
1,8228,854.0
4,8231,872.0
13,8239,904.0
14,8240,939.0
12,8238,959.0
1,8228,989.0
14,8240,1026.0
14,8240,1072.0
15,8241,1142.0
12,8238,1151.0
16,8242,1153.0
17,8243,1177.0
4,8231,1199.0
4,8231,1214.0
3,8230,1226.0
18,8244,1255.0
11,8237,1301.0
19,8245,1307.0
20,8246,1308.0
21,8247,1314.0
22,8248,1340.0
3,8230,1401.0
17,8249,1451.0
11,8237,1496.0
4,8231,1508.0
23,8250,1529.0
4,8231,1531.0
24,8251,1543.0
12,8238,1555.0
25,8252,1600.0
3,8230,1607.0
4,8231,1630.0
2,8229,1643.0
26,8253,1651.0
4,8231,1664.0
4,8231,1677.0
27,8254,1682.0
11,8237,1706.0
12,8238,1713.0
28,8255,1724.0
18,8244,1729.0
29,8256,1771.0
11,8237,1789.0
2,8229,1797.0
8,8234,1805.0
4,8231,1814.0
4,8231,1827.0
30,8257,1908.0
31,8258,1914.0
28,8255,1925.0
28,8255,1996.0
16,8249,2022.0
32,8259,2053.0
4,8231,2063.0
3,8230,2075.0
33,8260,2079.0
8,8234,2098.0
4,8231,2127.0
16,8249,2131.0
24,8251,2233.0
4,8231,2285.0
3,8230,2290.0
1,8228,2313.0
3,8230,2333.0
34,8261,2343.0
16,8249,2367.0
35,8262,2377.0
3,8230,2377.0
36,8263,2382.0
3,8230,2412.0
4,8231,2438.0
16,8249,2471.0
3,8230,2494.0
27,8254,2509.0
16,8249,2521.0
12,8238,2524.0
24,8251,2534.0
28,8255,2557.0
4,8231,2561.0
16,8249,2570.0
1,8228,2574.0
14,8240,2584.0
31,8258,2588.0
34,8261,2595.0
3,8230,2602.0
4,8231,2610.0
19,8260,2627.0
31,8258,2634.0
27,8254,2650.0
31,8258,2689.0
14,8240,2706.0
37,8264,2745.0
1,8228,2755.0
14,8240,2756.0
4,8231,2774.0
37,8264,2785.0
4,8231,2805.0
37,8264,2807.0
3,8230,2830.0
4,8231,2830.0
38,8260,2836.0
3,8230,2861.0
14,8240,2883.0
16,8249,2900.0
16,8249,2915.0
4,8231,2924.0
14,8240,2940.0
8,8234,2963.0
12,8238,2973.0
1,8228,2994.0
16,8249,3017.0
3,8230,3032.0
14,8240,3050.0
14,8240,3083.0
16,8249,3108.0
3,8230,3113.0
39,8265,3123.0
3,8230,3155.0
1,8228,3182.0
40,8244,3226.0
16,8249,3229.0
41,8266,3258.0
42,8267,3282.0
43,8268,3314.0
1,8228,3331.0
28,8255,3396.0
16,8249,3422.0
44,8269,3504.0
12,8238,3515.0
42,8267,3520.0
16,8249,3559.0
34,8261,3591.0
3,8230,3729.0
45,8249,3734.0
16,8249,3767.0
3,8230,3768.0
3,8230,3820.0
16,8249,3835.0
16,8249,3851.0
3,8230,3855.0
6,8233,3874.0
3,8230,3928.0
46,8270,3950.0
16,8249,3994.0
3,8230,4030.0
16,8249,4030.0
16,8249,4058.0
3,8230,4078.0
